episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
106,-2547.7059670119647,0.048372102297107755,-3.1639567068268866,9238,9238,289,30.040545225143433,0.6181211784324625,5.54513951116898,0.43181485921464285,,,,,
107,-2330.7180128256277,0.05962514903326079,-3.1682167193518596,8463,8463,265,26.08891797065735,0.5865830379056449,5.526142521792987,0.4374596889108881,,,,,
108,-2303.329081757433,0.055895789826997735,-3.1790401498188787,8558,8558,268,19.072440147399902,0.6043267862226017,5.380689750695231,0.4160445815266789,,,,,
109,-2231.200874553049,0.06609498588035681,-3.1868258841071833,8045,8045,252,14.418755769729614,0.5875973303670745,5.523389338966331,0.4173355461677731,-2358.0009877324455,74.70234546100345,0.6217401878193944,5.378782285781163,0.4128379580271296
110,-2127.814001477017,0.04698192548169049,-3.203625408836622,8445,8445,264,14.714468955993652,0.6202170188463735,5.253767853493102,0.4021364009860312,,,,,
111,-2536.7244755743595,0.05221347776129586,-3.2254635145764037,9291,9291,291,16.30430579185486,0.624113475177305,5.380916379385113,0.42923101649596,,,,,
112,-2343.159119987007,0.05524085994174873,-3.2396700340915117,8771,8771,275,15.309332847595215,0.6313858312164832,5.301561872454074,0.4142593104652686,,,,,
113,-2506.3572897212407,0.05138377736426612,-3.237491915450417,9019,9019,282,15.579514980316162,0.6175818080976151,5.465072062405193,0.42880382061040223,,,,,
114,-2408.4397411876953,0.049128431034057965,-3.2020451396267524,9087,9087,284,16.95387101173401,0.648852825965305,5.377972388623996,0.43081442314753615,,,,,
115,-2293.892074061003,0.04845619559068082,-3.373280965432657,8661,8661,271,15.849378108978271,0.6278290025146689,5.2805120768338245,0.4227025096007859,,,,,
116,-2385.52467719961,0.04965631944381378,-3.3983871506512036,8799,8799,275,16.85755705833435,0.6171571349250417,5.558028069182294,0.4366621390184846,,,,,
117,-2359.062512671609,0.047360485402820125,-3.3825967409606976,8854,8854,277,15.694192171096802,0.6289107763615296,5.281854071577796,0.4100825340173991,,,,,
118,-2422.7133716664007,0.05288801497032105,-3.4138865794927353,9072,9072,284,15.551650762557983,0.6119402985074627,5.278775975206395,0.4273620850691613,,,,,
119,-2323.1776279713654,0.055166716859212,-3.4096071369134995,8654,8654,271,14.939080238342285,0.6169054441260745,5.481170588444907,0.3994335931797612,-2402.3839789043604,79.5439953885573,0.6108392617436437,5.444398290083734,0.426087411547493
120,-2384.822668900806,0.05081376159092882,-3.4283366677957936,8720,8720,273,15.13102102279663,0.6055172413793104,5.552950262189295,0.4314227303702582,,,,,
121,-2310.234284217838,0.0556708739622307,-3.440150536170476,8494,8494,266,14.238794088363647,0.6018671059857221,5.543910599405239,0.4265855517854741,,,,,
122,-2503.505192308842,0.05077619539437497,-3.4443732363261708,9175,9175,287,15.801512956619263,0.6377675426713628,5.45776419037027,0.45679667462633766,,,,,
123,-2389.8143559310497,0.05301916412150013,-3.449849279840879,8660,8660,271,14.72092890739441,0.6113238512035011,5.395072409902824,0.4436351745050241,,,,,
124,-2230.47553489093,0.04953395545287302,-3.4548550490383922,8521,8521,267,14.583469152450562,0.6209302325581395,5.195784748762034,0.3890568050493377,,,,,
125,-2256.314023285557,0.050442568954209795,-3.431515867345243,8279,8279,259,13.988707065582275,0.6002793296089386,5.5258376453068285,0.4217135851933801,,,,,
126,-2417.133930641023,0.04597051598952263,-3.4157308886845557,9133,9133,286,15.740421056747437,0.6318516498500136,5.323922771532604,0.42998957369634494,,,,,
127,-2475.642357718468,0.051724031113679875,-3.439955296186172,8851,8851,277,15.097764015197754,0.6352650370777259,5.498632110208288,0.46122110991172166,,,,,
128,-2299.3754325530404,0.045461191799202966,-3.4210067831760296,8668,8668,271,14.883419752120972,0.6430239346176299,5.255713639516738,0.40933492394870263,,,,,
