episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
137,-2598.887388661908,0.368650845417184,9.253498915672617,0.06499100000000002,9093,2276,98422,100000,13881.2
138,-2558.9438864755066,0.36026159581370143,8.937544646283774,0.05816050000000006,8774,2231,99141,100000,13982.4
139,-2440.5835345037453,0.35865896859097834,8.899640382496278,0.05132999999999999,8375,2138,99860,100000,14079.3
140,-2463.1513858374165,0.35878274329884974,9.036947809601049,0.050000000000000044,8695,2110,100579,100000,14180.7,-2520.223205831787,44.26996322178669,0.6257158250299379,5.517927897753868,0.42095692094185716
141,-2702.271656175557,0.3527094395407947,8.638653698292337,0.050000000000000044,8779,2269,101298,100000,14328.2
142,-2584.9453370950246,0.34646785665067104,9.003437750141359,0.050000000000000044,8952,2257,102017,100000,14432.4
143,-2652.5469116907034,0.35142926067711294,8.607776119023715,0.050000000000000044,9129,2227,102736,100000,14538.2
144,-2499.3211105963715,0.35460426917759513,8.862551980071487,0.050000000000000044,9109,2280,103454,100000,14643.6
145,-2674.74340559274,0.3496828905739425,8.833807902786242,0.050000000000000044,9174,2295,104173,100000,14750.3
146,-2545.559704865799,0.35238015321625515,8.818033603040872,0.050000000000000044,8907,2262,104890,100000,14854.3
147,-2492.6408973356574,0.3572673978852884,8.67888849460243,0.050000000000000044,8788,2201,105609,100000,14956.6
148,-2510.5841785606885,0.356689160194427,8.678492429559236,0.050000000000000044,8740,2221,106328,100000,15058.2
149,-2497.5746495445287,0.3538412136426347,8.884957175672811,0.050000000000000044,8978,2214,107047,100000,15162.9
150,-2449.820749079483,0.3638346341678366,8.819262227553283,0.050000000000000044,8751,2217,107764,100000,15264.8,-2612.6767171613274,65.88147993967975,0.616621616789588,5.61513104383309,0.4276663254973404
151,-2552.7701050874844,0.3641091174755165,8.618714093988272,0.050000000000000044,8921,2226,108482,100000,15415.1
152,-2535.7831900234128,0.3628670401827258,8.765123254266278,0.050000000000000044,8816,2207,109200,100000,15517.4
153,-2510.0127068750035,0.3652378481238988,8.425333540831192,0.050000000000000044,8398,2119,109919,100000,15615.6
154,-2495.929709587631,0.36788680465999013,8.782674151064047,0.050000000000000044,8821,2240,110638,100000,15719.0
155,-2680.0850419834005,0.3659416343531327,7.867600251658627,0.050000000000000044,8748,2269,111357,100000,15821.4
156,-2526.5003385325363,0.36224136918738487,8.313698549095674,0.050000000000000044,8667,2213,112076,100000,15922.3
157,-2434.1687739097497,0.37050538497622326,8.654063151926156,0.050000000000000044,8430,2094,112795,100000,16020.9
158,-2482.9009803394592,0.36527464591359937,8.318258777138983,0.050000000000000044,8564,2139,113511,100000,16120.9
159,-2470.0950764920212,0.36205164442780746,7.9246652510878866,0.050000000000000044,8201,2163,114229,100000,16215.7
160,-2519.6075298780643,0.35983908932585495,8.69873414477278,0.050000000000000044,8923,2271,114948,100000,16319.6,-2589.1223566631515,69.1963995534983,0.6185439002119993,5.559584833976101,0.4161980042848047
161,-2714.940324732362,0.3642690206043093,8.42873356728319,0.050000000000000044,9378,2372,115666,100000,16471.4
162,-2689.7598975518968,0.35929223725610687,7.961518718948345,0.050000000000000044,9057,2282,116385,100000,16576.9
163,-2590.4905943394892,0.3525496113008281,8.279787875371927,0.050000000000000044,8919,2244,117104,100000,16680.5
164,-2515.693789390738,0.35892910324585287,8.269349274469064,0.050000000000000044,8834,2269,117823,100000,16783.9
165,-2652.0155003991827,0.36042259511348074,8.569256094549806,0.050000000000000044,9329,2258,118542,100000,16893.4
166,-2490.2777265164473,0.3576354549819668,8.420301244216837,0.050000000000000044,8903,2235,119261,100000,16996.8
167,-2353.8976032303403,0.35548633217974807,8.326351789565779,0.050000000000000044,8399,2175,119979,100000,17094.1
168,-2667.6021664102545,0.3658676419275242,7.665897381344798,0.050000000000000044,8841,2163,120695,100000,17197.8
169,-2849.9592086345306,0.3651291785896643,8.008325968039637,0.050000000000000044,9539,2322,121413,100000,17310.0
170,-2676.284359771953,0.35729403247916447,8.27628133693251,0.050000000000000044,9199,2189,122132,100000,17417.7,-2598.7313461909166,57.663133515578224,0.6128782354155419,5.65276327569571,0.42335818452398016
171,-2478.9532930193523,0.3662035669304662,8.60492620983754,0.050000000000000044,8989,2226,122851,100000,17568.2
172,-2723.462532259053,0.3641060631619696,8.113565122476077,0.050000000000000044,9121,2258,123568,100000,17674.9
173,-2568.9303481498873,0.35978057643060535,8.294594790913164,0.050000000000000044,8853,2167,124287,100000,17778.5
174,-2598.0827896560377,0.35536322862317765,8.39073643970821,0.050000000000000044,9206,2293,125005,100000,17885.7
175,-2491.9336517542915,0.3619486137568013,7.895937043874257,0.050000000000000044,8329,2128,125724,100000,17983.2
176,-2586.006701250713,0.35640180693473084,7.822354010952728,0.050000000000000044,8761,2226,126443,100000,18085.6
